NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,,
21,5625,19.24,21,5625,19.24,1.00,0.00,0.00,1.00,,
21,5625,19.24,21,6944.44,19.24,1.00,0.00,0.00,1.00,,
21,5625,19.24,21,8402.78,19.24,1.00,0.00,0.00,1.00,,
21,5625,19.24,27,10000,19.24,0.78,-0.11,0.07,0.93,,
21,5625,19.24,37,11736.11,19.24,0.57,-0.25,0.17,0.83,,
21,5625,19.24,37,13611.11,19.24,0.57,-0.25,0.17,0.83,,
21,5625,19.24,45,15625,19.24,0.47,-0.33,0.23,0.77,,
21,5625,19.24,48,17777.78,19.24,0.44,-0.36,0.25,0.75,,
21,5625,19.24,61,20069.44,19.24,0.34,-0.46,0.32,0.68,,
21,5625,19.24,69,22500,19.24,0.30,-0.52,0.35,0.65,,
21,5625,19.24,69,25069.44,19.24,0.30,-0.52,0.35,0.65,,
21,5625,19.24,69,27777.78,19.24,0.30,-0.52,0.35,0.65,,
21,5625,19.24,89,30625,19.24,0.24,-0.63,0.43,0.57,,
21,5625,19.24,97,33611.11,19.24,0.22,-0.66,0.45,0.55,,
21,5625,19.24,101,36736.11,19.24,0.21,-0.68,0.47,0.53,,
21,5625,19.24,112,40000,19.24,0.19,-0.73,0.50,0.50,,
21,6944.44,19.24,21,5625,19.24,1.00,0.00,0.00,1.00,,
21,6944.44,19.24,21,6944.44,19.24,1.00,0.00,0.00,1.00,,
21,6944.44,19.24,21,8402.78,19.24,1.00,0.00,0.00,1.00,,
21,6944.44,19.24,27,10000,19.24,0.78,-0.11,0.07,0.93,,
21,6944.44,19.24,37,11736.11,19.24,0.57,-0.25,0.17,0.83,,
21,6944.44,19.24,37,13611.11,19.24,0.57,-0.25,0.17,0.83,,
21,6944.44,19.24,45,15625,19.24,0.47,-0.33,0.23,0.77,,
21,6944.44,19.24,48,17777.78,19.24,0.44,-0.36,0.25,0.75,,
21,6944.44,19.24,61,20069.44,19.24,0.34,-0.46,0.32,0.68,,
21,6944.44,19.24,69,22500,19.24,0.30,-0.52,0.35,0.65,,
21,6944.44,19.24,69,25069.44,19.24,0.30,-0.52,0.35,0.65,,
21,6944.44,19.24,69,27777.78,19.24,0.30,-0.52,0.35,0.65,,
21,6944.44,19.24,89,30625,19.24,0.24,-0.63,0.43,0.57,,
21,6944.44,19.24,97,33611.11,19.24,0.22,-0.66,0.45,0.55,,
21,6944.44,19.24,101,36736.11,19.24,0.21,-0.68,0.47,0.53,,
21,6944.44,19.24,112,40000,19.24,0.19,-0.73,0.50,0.50,,
21,8402.78,19.24,21,5625,19.24,1.00,0.00,0.00,1.00,,
21,8402.78,19.24,21,6944.44,19.24,1.00,0.00,0.00,1.00,,
21,8402.78,19.24,21,8402.78,19.24,1.00,0.00,0.00,1.00,,
21,8402.78,19.24,27,10000,19.24,0.78,-0.11,0.07,0.93,,
21,8402.78,19.24,37,11736.11,19.24,0.57,-0.25,0.17,0.83,,
21,8402.78,19.24,37,13611.11,19.24,0.57,-0.25,0.17,0.83,,
21,8402.78,19.24,45,15625,19.24,0.47,-0.33,0.23,0.77,,
21,8402.78,19.24,48,17777.78,19.24,0.44,-0.36,0.25,0.75,,
21,8402.78,19.24,61,20069.44,19.24,0.34,-0.46,0.32,0.68,,
21,8402.78,19.24,69,22500,19.24,0.30,-0.52,0.35,0.65,,
21,8402.78,19.24,69,25069.44,19.24,0.30,-0.52,0.35,0.65,,
21,8402.78,19.24,69,27777.78,19.24,0.30,-0.52,0.35,0.65,,
21,8402.78,19.24,89,30625,19.24,0.24,-0.63,0.43,0.57,,
21,8402.78,19.24,97,33611.11,19.24,0.22,-0.66,0.45,0.55,,
21,8402.78,19.24,101,36736.11,19.24,0.21,-0.68,0.47,0.53,,
21,8402.78,19.24,112,40000,19.24,0.19,-0.73,0.50,0.50,,
27,10000,19.24,21,5625,19.24,1.29,0.11,0.07,0.93,,
27,10000,19.24,21,6944.44,19.24,1.29,0.11,0.07,0.93,,
27,10000,19.24,21,8402.78,19.24,1.29,0.11,0.07,0.93,,
27,10000,19.24,27,10000,19.24,1.00,0.00,0.00,1.00,,
27,10000,19.24,37,11736.11,19.24,0.73,-0.14,0.09,0.91,,
27,10000,19.24,37,13611.11,19.24,0.73,-0.14,0.09,0.91,,
27,10000,19.24,45,15625,19.24,0.60,-0.22,0.15,0.85,,
27,10000,19.24,48,17777.78,19.24,0.56,-0.25,0.17,0.83,,
27,10000,19.24,61,20069.44,19.24,0.44,-0.35,0.24,0.76,,
27,10000,19.24,69,22500,19.24,0.39,-0.41,0.28,0.72,,
27,10000,19.24,69,25069.44,19.24,0.39,-0.41,0.28,0.72,,
27,10000,19.24,69,27777.78,19.24,0.39,-0.41,0.28,0.72,,
27,10000,19.24,89,30625,19.24,0.30,-0.52,0.35,0.65,,
27,10000,19.24,97,33611.11,19.24,0.28,-0.56,0.38,0.62,,
27,10000,19.24,101,36736.11,19.24,0.27,-0.57,0.39,0.61,,
27,10000,19.24,112,40000,19.24,0.24,-0.62,0.42,0.58,,
37,11736.11,19.24,21,5625,19.24,1.76,0.25,0.17,0.83,,
37,11736.11,19.24,21,6944.44,19.24,1.76,0.25,0.17,0.83,,
37,11736.11,19.24,21,8402.78,19.24,1.76,0.25,0.17,0.83,,
37,11736.11,19.24,27,10000,19.24,1.37,0.14,0.09,0.91,,
37,11736.11,19.24,37,11736.11,19.24,1.00,0.00,0.00,1.00,,
37,11736.11,19.24,37,13611.11,19.24,1.00,0.00,0.00,1.00,,
37,11736.11,19.24,45,15625,19.24,0.82,-0.09,0.06,0.94,,
37,11736.11,19.24,48,17777.78,19.24,0.77,-0.11,0.08,0.92,,
37,11736.11,19.24,61,20069.44,19.24,0.61,-0.22,0.15,0.85,,
37,11736.11,19.24,69,22500,19.24,0.54,-0.27,0.19,0.81,,
37,11736.11,19.24,69,25069.44,19.24,0.54,-0.27,0.19,0.81,,
37,11736.11,19.24,69,27777.78,19.24,0.54,-0.27,0.19,0.81,,
37,11736.11,19.24,89,30625,19.24,0.42,-0.38,0.26,0.74,,
37,11736.11,19.24,97,33611.11,19.24,0.38,-0.42,0.29,0.71,,
37,11736.11,19.24,101,36736.11,19.24,0.37,-0.44,0.30,0.70,,
37,11736.11,19.24,112,40000,19.24,0.33,-0.48,0.33,0.67,,
37,13611.11,19.24,21,5625,19.24,1.76,0.25,0.17,0.83,,
37,13611.11,19.24,21,6944.44,19.24,1.76,0.25,0.17,0.83,,
37,13611.11,19.24,21,8402.78,19.24,1.76,0.25,0.17,0.83,,
37,13611.11,19.24,27,10000,19.24,1.37,0.14,0.09,0.91,,
37,13611.11,19.24,37,11736.11,19.24,1.00,0.00,0.00,1.00,,
37,13611.11,19.24,37,13611.11,19.24,1.00,0.00,0.00,1.00,,
37,13611.11,19.24,45,15625,19.24,0.82,-0.09,0.06,0.94,,
37,13611.11,19.24,48,17777.78,19.24,0.77,-0.11,0.08,0.92,,
37,13611.11,19.24,61,20069.44,19.24,0.61,-0.22,0.15,0.85,,
37,13611.11,19.24,69,22500,19.24,0.54,-0.27,0.19,0.81,,
37,13611.11,19.24,69,25069.44,19.24,0.54,-0.27,0.19,0.81,,
37,13611.11,19.24,69,27777.78,19.24,0.54,-0.27,0.19,0.81,,
37,13611.11,19.24,89,30625,19.24,0.42,-0.38,0.26,0.74,,
37,13611.11,19.24,97,33611.11,19.24,0.38,-0.42,0.29,0.71,,
37,13611.11,19.24,101,36736.11,19.24,0.37,-0.44,0.30,0.70,,
37,13611.11,19.24,112,40000,19.24,0.33,-0.48,0.33,0.67,,
45,15625,19.24,21,5625,19.24,2.14,0.33,0.23,0.77,,
45,15625,19.24,21,6944.44,19.24,2.14,0.33,0.23,0.77,,
45,15625,19.24,21,8402.78,19.24,2.14,0.33,0.23,0.77,,
45,15625,19.24,27,10000,19.24,1.67,0.22,0.15,0.85,,
45,15625,19.24,37,11736.11,19.24,1.22,0.09,0.06,0.94,,
45,15625,19.24,37,13611.11,19.24,1.22,0.09,0.06,0.94,,
45,15625,19.24,45,15625,19.24,1.00,0.00,0.00,1.00,,
45,15625,19.24,48,17777.78,19.24,0.94,-0.03,0.02,0.98,,
45,15625,19.24,61,20069.44,19.24,0.74,-0.13,0.09,0.91,,
45,15625,19.24,69,22500,19.24,0.65,-0.19,0.13,0.87,,
45,15625,19.24,69,25069.44,19.24,0.65,-0.19,0.13,0.87,,
45,15625,19.24,69,27777.78,19.24,0.65,-0.19,0.13,0.87,,
