,NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,Diff_coeff_filtering
0,21,5625.0,19.24,21,5625.0,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
1,21,5625.0,19.24,21,6944.44,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
2,21,5625.0,19.24,21,8402.78,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
3,21,5625.0,19.24,27,10000.0,19.24,0.78,-0.11,0.07,0.93,0.8530306293326475
4,21,5625.0,19.24,37,11736.11,19.24,0.57,-0.25,0.17,0.83,0.5785199155684306
5,21,5625.0,19.24,37,13611.11,19.24,0.57,-0.25,0.17,0.83,0.6809115480005918
6,21,5625.0,19.24,45,15625.0,19.24,0.47,-0.33,0.23,0.77,0.5972454841816608
7,21,5625.0,19.24,48,17777.78,19.24,0.44,-0.36,0.25,0.75,0.6188801503297776
8,21,5625.0,19.24,61,20069.44,19.24,0.34,-0.46,0.32,0.68,0.5266895563536532
9,21,5625.0,19.24,69,22500.0,19.24,0.3,-0.52,0.35,0.65,0.5119696562342356
10,21,5625.0,19.24,69,25069.44,19.24,0.3,-0.52,0.35,0.65,0.5586694062941212
11,21,5625.0,19.24,69,27777.78,19.24,0.3,-0.52,0.35,0.65,0.5981101592344233
12,21,5625.0,19.24,89,30625.0,19.24,0.24,-0.63,0.43,0.57,0.5163618575135525
13,21,5625.0,19.24,97,33611.11,19.24,0.22,-0.66,0.45,0.55,0.5135415493568504
14,21,5625.0,19.24,101,36736.11,19.24,0.21,-0.68,0.47,0.53,0.5277197373697728
15,21,5625.0,19.24,112,40000.0,19.24,0.19,-0.73,0.5,0.5,0.5154998983850649
16,21,6944.44,19.24,21,5625.0,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
17,21,6944.44,19.24,21,6944.44,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
18,21,6944.44,19.24,21,8402.78,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
19,21,6944.44,19.24,27,10000.0,19.24,0.78,-0.11,0.07,0.93,0.6420388130990378
20,21,6944.44,19.24,37,11736.11,19.24,0.57,-0.25,0.17,0.83,0.35642828780987457
21,21,6944.44,19.24,37,13611.11,19.24,0.57,-0.25,0.17,0.83,0.5242033122120322
22,21,6944.44,19.24,45,15625.0,19.24,0.47,-0.33,0.23,0.77,0.4525308686067134
23,21,6944.44,19.24,48,17777.78,19.24,0.44,-0.36,0.25,0.75,0.49623008850083206
24,21,6944.44,19.24,61,20069.44,19.24,0.34,-0.46,0.32,0.68,0.40694867770208737
25,21,6944.44,19.24,69,22500.0,19.24,0.3,-0.52,0.35,0.65,0.4020450099798919
26,21,6944.44,19.24,69,25069.44,19.24,0.3,-0.52,0.35,0.65,0.4619411724164393
27,21,6944.44,19.24,69,27777.78,19.24,0.3,-0.52,0.35,0.65,0.5119699866793649
28,21,6944.44,19.24,89,30625.0,19.24,0.24,-0.63,0.43,0.57,0.4289324021604429
29,21,6944.44,19.24,97,33611.11,19.24,0.22,-0.66,0.45,0.55,0.43092282028811485
30,21,6944.44,19.24,101,36736.11,19.24,0.21,-0.68,0.47,0.53,0.4503899643215449
31,21,6944.44,19.24,112,40000.0,19.24,0.19,-0.73,0.5,0.5,0.4410177565295442
32,21,8402.78,19.24,21,5625.0,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
33,21,8402.78,19.24,21,6944.44,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
34,21,8402.78,19.24,21,8402.78,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
35,21,8402.78,19.24,27,10000.0,19.24,0.78,-0.11,0.07,0.93,0.13676560051125253
36,21,8402.78,19.24,37,11736.11,19.24,0.57,-0.25,0.17,0.83,0.00993498013055801
37,21,8402.78,19.24,37,13611.11,19.24,0.57,-0.25,0.17,0.83,0.29496485633463776
38,21,8402.78,19.24,45,15625.0,19.24,0.47,-0.33,0.23,0.77,0.2611647361655187
39,21,8402.78,19.24,48,17777.78,19.24,0.44,-0.36,0.25,0.75,0.34076355493045973
40,21,8402.78,19.24,61,20069.44,19.24,0.34,-0.46,0.32,0.68,0.263525412186351
41,21,8402.78,19.24,69,22500.0,19.24,0.3,-0.52,0.35,0.65,0.27403809625115044
42,21,8402.78,19.24,69,25069.44,19.24,0.3,-0.52,0.35,0.65,0.35054858992433596
43,21,8402.78,19.24,69,27777.78,19.24,0.3,-0.52,0.35,0.65,0.4137947367146899
44,21,8402.78,19.24,89,30625.0,19.24,0.24,-0.63,0.43,0.57,0.3319336296233832
45,21,8402.78,19.24,97,33611.11,19.24,0.22,-0.66,0.45,0.55,0.3403321593711568
46,21,8402.78,19.24,101,36736.11,19.24,0.21,-0.68,0.47,0.53,0.36625275216411074
47,21,8402.78,19.24,112,40000.0,19.24,0.19,-0.73,0.5,0.5,0.36079358546892715
48,27,10000.0,19.24,21,5625.0,19.24,1.29,0.11,0.07,0.93,0.8530306293326477
49,27,10000.0,19.24,21,6944.44,19.24,1.29,0.11,0.07,0.93,0.6420388130990381
50,27,10000.0,19.24,21,8402.78,19.24,1.29,0.11,0.07,0.93,0.13676560051125305
51,27,10000.0,19.24,27,10000.0,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
52,27,10000.0,19.24,37,11736.11,19.24,0.73,-0.14,0.09,0.91,0.10847541577968053
53,27,10000.0,19.24,37,13611.11,19.24,0.73,-0.14,0.09,0.91,0.3951351580053879
54,27,10000.0,19.24,45,15625.0,19.24,0.6,-0.22,0.15,0.85,0.3138615692394399
55,27,10000.0,19.24,48,17777.78,19.24,0.56,-0.25,0.17,0.83,0.41026629862594105
56,27,10000.0,19.24,61,20069.44,19.24,0.44,-0.35,0.24,0.76,0.2976864664245569
57,27,10000.0,19.24,69,22500.0,19.24,0.39,-0.41,0.28,0.72,0.3059227547726758
58,27,10000.0,19.24,69,25069.44,19.24,0.39,-0.41,0.28,0.72,0.3958841006752302
59,27,10000.0,19.24,69,27777.78,19.24,0.39,-0.41,0.28,0.72,0.4679039427780238
60,27,10000.0,19.24,89,30625.0,19.24,0.3,-0.52,0.35,0.65,0.36554277282388176
61,27,10000.0,19.24,97,33611.11,19.24,0.28,-0.56,0.38,0.62,0.37278089429230954
62,27,10000.0,19.24,101,36736.11,19.24,0.27,-0.57,0.39,0.61,0.40067064033696126
63,27,10000.0,19.24,112,40000.0,19.24,0.24,-0.62,0.42,0.58,0.3922352261703476
64,37,11736.11,19.24,21,5625.0,19.24,1.76,0.25,0.17,0.83,0.5785199155684306
65,37,11736.11,19.24,21,6944.44,19.24,1.76,0.25,0.17,0.83,0.35642828780987457
66,37,11736.11,19.24,21,8402.78,19.24,1.76,0.25,0.17,0.83,0.00993498013055801
67,37,11736.11,19.24,27,10000.0,19.24,1.37,0.14,0.09,0.91,0.10847541577967984
68,37,11736.11,19.24,37,11736.11,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
69,37,11736.11,19.24,37,13611.11,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
70,37,11736.11,19.24,45,15625.0,19.24,0.82,-0.09,0.06,0.94,0.6462462105646852
71,37,11736.11,19.24,48,17777.78,19.24,0.77,-0.11,0.08,0.92,0.6924876801324557
72,37,11736.11,19.24,61,20069.44,19.24,0.61,-0.22,0.15,0.85,0.4582443725489254
73,37,11736.11,19.24,69,22500.0,19.24,0.54,-0.27,0.19,0.81,0.43998429126729377
74,37,11736.11,19.24,69,25069.44,19.24,0.54,-0.27,0.19,0.81,0.5396509176420663
75,37,11736.11,19.24,69,27777.78,19.24,0.54,-0.27,0.19,0.81,0.615000300978846
76,37,11736.11,19.24,89,30625.0,19.24,0.42,-0.38,0.26,0.74,0.4702701454945731
77,37,11736.11,19.24,97,33611.11,19.24,0.38,-0.42,0.29,0.71,0.4696301435989608
78,37,11736.11,19.24,101,36736.11,19.24,0.37,-0.44,0.3,0.7,0.49578940351379597
79,37,11736.11,19.24,112,40000.0,19.24,0.33,-0.48,0.33,0.67,0.4788444416757188
80,37,13611.11,19.24,21,5625.0,19.24,1.76,0.25,0.17,0.83,0.6809115480005918
81,37,13611.11,19.24,21,6944.44,19.24,1.76,0.25,0.17,0.83,0.5242033122120319
82,37,13611.11,19.24,21,8402.78,19.24,1.76,0.25,0.17,0.83,0.29496485633463776
83,37,13611.11,19.24,27,10000.0,19.24,1.37,0.14,0.09,0.91,0.3951351580053879
84,37,13611.11,19.24,37,11736.11,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
85,37,13611.11,19.24,37,13611.11,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
86,37,13611.11,19.24,45,15625.0,19.24,0.82,-0.09,0.06,0.94,0.1507403724985622
87,37,13611.11,19.24,48,17777.78,19.24,0.77,-0.11,0.08,0.92,0.427944757972091
88,37,13611.11,19.24,61,20069.44,19.24,0.61,-0.22,0.15,0.85,0.22567355728514313
89,37,13611.11,19.24,69,22500.0,19.24,0.54,-0.27,0.19,0.81,0.2543143637287478
90,37,13611.11,19.24,69,25069.44,19.24,0.54,-0.27,0.19,0.81,0.39626231161122616
91,37,13611.11,19.24,69,27777.78,19.24,0.54,-0.27,0.19,0.81,0.5005151216534113
92,37,13611.11,19.24,89,30625.0,19.24,0.42,-0.38,0.26,0.74,0.35446771587934256
93,37,13611.11,19.24,97,33611.11,19.24,0.38,-0.42,0.29,0.71,0.36524376938668573
94,37,13611.11,19.24,101,36736.11,19.24,0.37,-0.44,0.3,0.7,0.4023941340214908
95,37,13611.11,19.24,112,40000.0,19.24,0.33,-0.48,0.33,0.67,0.39140701833702596
96,45,15625.0,19.24,21,5625.0,19.24,2.14,0.33,0.23,0.77,0.5972454841816608
97,45,15625.0,19.24,21,6944.44,19.24,2.14,0.33,0.23,0.77,0.4525308686067134
98,45,15625.0,19.24,21,8402.78,19.24,2.14,0.33,0.23,0.77,0.2611647361655189
99,45,15625.0,19.24,27,10000.0,19.24,1.67,0.22,0.15,0.85,0.3138615692394399
100,45,15625.0,19.24,37,11736.11,19.24,1.22,0.09,0.06,0.94,0.6462462105646852
101,45,15625.0,19.24,37,13611.11,19.24,1.22,0.09,0.06,0.94,0.1507403724985622
102,45,15625.0,19.24,45,15625.0,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
103,45,15625.0,19.24,48,17777.78,19.24,0.94,-0.03,0.02,0.98,0.7985171232972105
104,45,15625.0,19.24,61,20069.44,19.24,0.74,-0.13,0.09,0.91,0.2693967822985022
105,45,15625.0,19.24,69,22500.0,19.24,0.65,-0.19,0.13,0.87,0.29627861500032415
106,45,15625.0,19.24,69,25069.44,19.24,0.65,-0.19,0.13,0.87,0.47822299107957483
107,45,15625.0,19.24,69,27777.78,19.24,0.65,-0.19,0.13,0.87,0.5996465336649709
108,45,15625.0,19.24,89,30625.0,19.24,0.51,-0.3,0.2,0.8,0.4010137317118142
109,45,15625.0,19.24,97,33611.11,19.24,0.46,-0.33,0.23,0.77,0.4084029852261987
110,45,15625.0,19.24,101,36736.11,19.24,0.45,-0.35,0.24,0.76,0.44836206317832344
111,45,15625.0,19.24,112,40000.0,19.24,0.4,-0.4,0.27,0.73,0.4311595317945194
112,48,17777.78,19.24,21,5625.0,19.24,2.29,0.36,0.25,0.75,0.6188801503297776
113,48,17777.78,19.24,21,6944.44,19.24,2.29,0.36,0.25,0.75,0.49623008850083206
114,48,17777.78,19.24,21,8402.78,19.24,2.29,0.36,0.25,0.75,0.34076355493045957
115,48,17777.78,19.24,27,10000.0,19.24,1.78,0.25,0.17,0.83,0.41026629862594105
116,48,17777.78,19.24,37,11736.11,19.24,1.3,0.11,0.08,0.92,0.6924876801324561
117,48,17777.78,19.24,37,13611.11,19.24,1.3,0.11,0.08,0.92,0.4279447579720914
118,48,17777.78,19.24,45,15625.0,19.24,1.07,0.03,0.02,0.98,0.7985171232972101
119,48,17777.78,19.24,48,17777.78,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
120,48,17777.78,19.24,61,20069.44,19.24,0.79,-0.1,0.07,0.93,0.11186797784329498
121,48,17777.78,19.24,69,22500.0,19.24,0.7,-0.16,0.11,0.89,0.08586960670343112
122,48,17777.78,19.24,69,25069.44,19.24,0.7,-0.16,0.11,0.89,0.3721502640264462
123,48,17777.78,19.24,69,27777.78,19.24,0.7,-0.16,0.11,0.89,0.5456361099728879
124,48,17777.78,19.24,89,30625.0,19.24,0.54,-0.27,0.18,0.82,0.3198706875390554
125,48,17777.78,19.24,97,33611.11,19.24,0.49,-0.31,0.21,0.79,0.3398247708402798
126,48,17777.78,19.24,101,36736.11,19.24,0.48,-0.32,0.22,0.78,0.3931122199754267
127,48,17777.78,19.24,112,40000.0,19.24,0.43,-0.37,0.25,0.75,0.37958820567855417
128,61,20069.44,19.24,21,5625.0,19.24,2.9,0.46,0.32,0.68,0.5266895563536528
129,61,20069.44,19.24,21,6944.44,19.24,2.9,0.46,0.32,0.68,0.406948677702087
130,61,20069.44,19.24,21,8402.78,19.24,2.9,0.46,0.32,0.68,0.26352541218635067
131,61,20069.44,19.24,27,10000.0,19.24,2.26,0.35,0.24,0.76,0.2976864664245569
132,61,20069.44,19.24,37,11736.11,19.24,1.65,0.22,0.15,0.85,0.4582443725489254
133,61,20069.44,19.24,37,13611.11,19.24,1.65,0.22,0.15,0.85,0.22567355728514352
134,61,20069.44,19.24,45,15625.0,19.24,1.36,0.13,0.09,0.91,0.26939678229850256
135,61,20069.44,19.24,48,17777.78,19.24,1.27,0.1,0.07,0.93,0.11186797784329482
136,61,20069.44,19.24,61,20069.44,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
137,61,20069.44,19.24,69,22500.0,19.24,0.88,-0.05,0.04,0.96,0.3573687211902774
138,61,20069.44,19.24,69,25069.44,19.24,0.88,-0.05,0.04,0.96,0.7528059948613243
139,61,20069.44,19.24,69,27777.78,19.24,0.88,-0.05,0.04,0.96,0.9036051924569107
140,61,20069.44,19.24,89,30625.0,19.24,0.69,-0.16,0.11,0.89,0.4856779975898356
141,61,20069.44,19.24,97,33611.11,19.24,0.63,-0.2,0.14,0.86,0.48156974128828217
142,61,20069.44,19.24,101,36736.11,19.24,0.6,-0.22,0.15,0.85,0.5298893277916965
143,61,20069.44,19.24,112,40000.0,19.24,0.54,-0.26,0.18,0.82,0.4950668631035676
144,69,22500.0,19.24,21,5625.0,19.24,3.29,0.52,0.35,0.65,0.5119696562342356
145,69,22500.0,19.24,21,6944.44,19.24,3.29,0.52,0.35,0.65,0.4020450099798919
146,69,22500.0,19.24,21,8402.78,19.24,3.29,0.52,0.35,0.65,0.27403809625115066
147,69,22500.0,19.24,27,10000.0,19.24,2.56,0.41,0.28,0.72,0.3059227547726758
148,69,22500.0,19.24,37,11736.11,19.24,1.86,0.27,0.19,0.81,0.43998429126729416
149,69,22500.0,19.24,37,13611.11,19.24,1.86,0.27,0.19,0.81,0.25431436372874805
150,69,22500.0,19.24,45,15625.0,19.24,1.53,0.19,0.13,0.87,0.29627861500032415
151,69,22500.0,19.24,48,17777.78,19.24,1.44,0.16,0.11,0.89,0.08586960670343112
152,69,22500.0,19.24,61,20069.44,19.24,1.13,0.05,0.04,0.96,0.3573687211902774
153,69,22500.0,19.24,69,22500.0,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
154,69,22500.0,19.24,69,25069.44,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
155,69,22500.0,19.24,69,27777.78,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
156,69,22500.0,19.24,89,30625.0,19.24,0.78,-0.11,0.08,0.92,0.5362605777165527
157,69,22500.0,19.24,97,33611.11,19.24,0.71,-0.15,0.1,0.9,0.5189830315058764
158,69,22500.0,19.24,101,36736.11,19.24,0.68,-0.17,0.11,0.89,0.5730848481421993
159,69,22500.0,19.24,112,40000.0,19.24,0.62,-0.21,0.14,0.86,0.5240377832759472
160,69,25069.44,19.24,21,5625.0,19.24,3.29,0.52,0.35,0.65,0.5586694062941212
161,69,25069.44,19.24,21,6944.44,19.24,3.29,0.52,0.35,0.65,0.4619411724164393
162,69,25069.44,19.24,21,8402.78,19.24,3.29,0.52,0.35,0.65,0.35054858992433596
163,69,25069.44,19.24,27,10000.0,19.24,2.56,0.41,0.28,0.72,0.3958841006752302
164,69,25069.44,19.24,37,11736.11,19.24,1.86,0.27,0.19,0.81,0.5396509176420667
165,69,25069.44,19.24,37,13611.11,19.24,1.86,0.27,0.19,0.81,0.39626231161122616
166,69,25069.44,19.24,45,15625.0,19.24,1.53,0.19,0.13,0.87,0.47822299107957483
167,69,25069.44,19.24,48,17777.78,19.24,1.44,0.16,0.11,0.89,0.37215026402644585
168,69,25069.44,19.24,61,20069.44,19.24,1.13,0.05,0.04,0.96,0.7528059948613243
169,69,25069.44,19.24,69,22500.0,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
170,69,25069.44,19.24,69,25069.44,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
171,69,25069.44,19.24,69,27777.78,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
172,69,25069.44,19.24,89,30625.0,19.24,0.78,-0.11,0.08,0.92,0.2351601372021833
173,69,25069.44,19.24,97,33611.11,19.24,0.71,-0.15,0.1,0.9,0.3029807075307325
174,69,25069.44,19.24,101,36736.11,19.24,0.68,-0.17,0.11,0.89,0.41225330564384993
175,69,25069.44,19.24,112,40000.0,19.24,0.62,-0.21,0.14,0.86,0.3850868285324104
176,69,27777.78,19.24,21,5625.0,19.24,3.29,0.52,0.35,0.65,0.5981101592344233
177,69,27777.78,19.24,21,6944.44,19.24,3.29,0.52,0.35,0.65,0.5119699866793649
178,69,27777.78,19.24,21,8402.78,19.24,3.29,0.52,0.35,0.65,0.4137947367146903
179,69,27777.78,19.24,27,10000.0,19.24,2.56,0.41,0.28,0.72,0.4679039427780234
180,69,27777.78,19.24,37,11736.11,19.24,1.86,0.27,0.19,0.81,0.615000300978846
181,69,27777.78,19.24,37,13611.11,19.24,1.86,0.27,0.19,0.81,0.5005151216534116
182,69,27777.78,19.24,45,15625.0,19.24,1.53,0.19,0.13,0.87,0.5996465336649709
183,69,27777.78,19.24,48,17777.78,19.24,1.44,0.16,0.11,0.89,0.5456361099728876
184,69,27777.78,19.24,61,20069.44,19.24,1.13,0.05,0.04,0.96,0.9036051924569103
185,69,27777.78,19.24,69,22500.0,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
186,69,27777.78,19.24,69,25069.44,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
187,69,27777.78,19.24,69,27777.78,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
188,69,27777.78,19.24,89,30625.0,19.24,0.78,-0.11,0.08,0.92,0.3235069091648851
189,69,27777.78,19.24,97,33611.11,19.24,0.71,-0.15,0.1,0.9,0.03190206460410817
190,69,27777.78,19.24,101,36736.11,19.24,0.68,-0.17,0.11,0.89,0.1817922691841981
191,69,27777.78,19.24,112,40000.0,19.24,0.62,-0.21,0.14,0.86,0.20169829870291325
192,89,30625.0,19.24,21,5625.0,19.24,4.24,0.63,0.43,0.57,0.5163618575135525
193,89,30625.0,19.24,21,6944.44,19.24,4.24,0.63,0.43,0.57,0.4289324021604429
194,89,30625.0,19.24,21,8402.78,19.24,4.24,0.63,0.43,0.57,0.3319336296233832
195,89,30625.0,19.24,27,10000.0,19.24,3.3,0.52,0.35,0.65,0.36554277282388176
196,89,30625.0,19.24,37,11736.11,19.24,2.41,0.38,0.26,0.74,0.4702701454945731
197,89,30625.0,19.24,37,13611.11,19.24,2.41,0.38,0.26,0.74,0.35446771587934256
198,89,30625.0,19.24,45,15625.0,19.24,1.98,0.3,0.2,0.8,0.4010137317118142
199,89,30625.0,19.24,48,17777.78,19.24,1.85,0.27,0.18,0.82,0.3198706875390554
200,89,30625.0,19.24,61,20069.44,19.24,1.46,0.16,0.11,0.89,0.4856779975898356
201,89,30625.0,19.24,69,22500.0,19.24,1.29,0.11,0.08,0.92,0.5362605777165519
202,89,30625.0,19.24,69,25069.44,19.24,1.29,0.11,0.08,0.92,0.2351601372021831
203,89,30625.0,19.24,69,27777.78,19.24,1.29,0.11,0.08,0.92,0.32350690916488584
204,89,30625.0,19.24,89,30625.0,19.24,1.0,0.0,0.0,1.0,-0.02776467979825929
205,89,30625.0,19.24,97,33611.11,19.24,0.92,-0.04,0.03,0.97,0.46304840207297854
