,Unnamed,NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,Diff_coeff_filtering,nd_LogRatio,nnd_LogRatio
0,0,21,5625.0,19.24,27,10000.0,19.24,-1,-1,-1,0.26,0.72,0.10914446942506807,0.2363662296002545
1,0,21,5625.0,19.24,37,11736.11,19.24,-1,-1,-1,0.77,0.67,0.2459824293330757,0.3043708090401389
2,0,21,5625.0,19.24,37,13611.11,19.24,-1,-1,-1,0.16,0.05,0.2459824293330757,0.3652812412014556
3,0,21,5625.0,19.24,45,15625.0,19.24,-1,-1,-1,0.82,0.55,0.3309932190414244,0.4240176823788083
4,0,21,5625.0,19.24,48,17777.78,19.24,-1,-1,-1,0.34,0.66,0.3590219426416679,0.4779164034912265
5,0,21,5625.0,19.24,61,20069.44,19.24,-1,-1,-1,0.31,0.63,0.4631105402768477,0.5309763881876567
6,0,21,5625.0,19.24,69,22500.0,19.24,-1,-1,-1,0.32,0.65,0.516629796003336,0.579848836847744
7,0,21,5625.0,19.24,69,25069.44,19.24,-1,-1,-1,0.76,0.92,0.516629796003336,0.624300584043808
8,0,21,5625.0,19.24,69,27777.78,19.24,-1,-1,-1,0.69,0.84,0.516629796003336,0.6666986216921396
9,0,21,5625.0,19.24,89,30625.0,19.24,-1,-1,-1,0.01,0.03,0.6271707119109935,0.7107568841722813
10,0,21,5625.0,19.24,97,33611.11,19.24,-1,-1,-1,0.43,0.71,0.6645524395323256,0.7505159759194618
11,0,21,5625.0,19.24,101,36736.11,19.24,-1,-1,-1,0.57,0.69,0.6821020790487233,0.7878179011565029
12,0,21,5625.0,19.24,112,40000.0,19.24,-1,-1,-1,0.44,0.28,0.7269987279362623,0.8246793187369984
13,0,21,5625.0,19.24,9,5625.0,27.7,-1,-1,-1,0.83,0.62,-0.36797678529459443,0.01950823584679837
14,0,21,5625.0,19.24,13,6944.44,27.7,-1,-1,-1,0.98,0.73,-0.20827594242708247,0.0978074424738949
15,0,21,5625.0,19.24,25,11736.11,27.7,-1,-1,-1,0.84,0.32,0.07572071393811834,0.310313585848323
16,0,21,5625.0,19.24,29,13611.11,27.7,-1,-1,-1,0.68,0.42,0.1401787031650368,0.37188308845723167
17,0,21,5625.0,19.24,37,15625.0,27.7,-1,-1,-1,0.68,0.4,0.2459824293330757,0.4306972237367289
18,0,21,5625.0,19.24,37,17777.78,27.7,-1,-1,-1,0.03,0.61,0.2459824293330757,0.4834827320603088
19,0,21,5625.0,19.24,45,20069.44,27.7,-1,-1,-1,0.59,0.91,0.3309932190414244,0.5355020704665968
20,0,21,5625.0,19.24,45,22500.0,27.7,-1,-1,-1,0.51,0.54,0.3309932190414244,0.582375529338717
21,0,21,5625.0,19.24,57,25069.44,27.7,-1,-1,-1,0.42,0.75,0.43365556093857216,0.6300442641495305
22,0,21,5625.0,19.24,61,27777.78,27.7,-1,-1,-1,0.0,0.27,0.4631105402768477,0.673110528582971
23,0,21,5625.0,19.24,69,30625.0,27.7,-1,-1,-1,0.16,0.09,0.516629796003336,0.7151504128787458
24,0,21,5625.0,19.24,69,33611.11,27.7,-1,-1,-1,0.03,0.29,0.516629796003336,0.753263498865002
25,0,21,5625.0,19.24,81,36736.11,27.7,-1,-1,-1,0.34,0.69,0.5862657241447304,0.7924944111479448
26,0,21,5625.0,19.24,89,40000.0,27.7,-1,-1,-1,0.41,0.81,0.6271707119109935,0.829109849154225
27,0,21,5625.0,19.24,9,5625.0,37.7,-1,-1,-1,0.84,0.59,-0.36797678529459443,0.02606431446536963
28,0,21,5625.0,19.24,9,6944.44,37.7,-1,-1,-1,0.22,0.89,-0.36797678529459443,0.11289298929650785
29,0,21,5625.0,19.24,13,8402.78,37.7,-1,-1,-1,0.25,0.19,-0.20827594242708247,0.18325244514870553
30,0,21,5625.0,19.24,25,15625.0,37.7,-1,-1,-1,0.89,0.37,0.07572071393811834,0.4351504929509408
31,0,21,5625.0,19.24,29,17777.78,37.7,-1,-1,-1,0.24,0.59,0.1401787031650368,0.48888867153121757
32,0,21,5625.0,19.24,37,20069.44,37.7,-1,-1,-1,0.15,0.27,0.2459824293330757,0.5410141432114919
33,0,21,5625.0,19.24,37,22500.0,37.7,-1,-1,-1,0.35,0.52,0.2459824293330757,0.5875806084794596
34,0,21,5625.0,19.24,45,25069.44,37.7,-1,-1,-1,0.98,0.88,0.3309932190414244,0.6343978323271965
35,0,21,5625.0,19.24,45,27777.78,37.7,-1,-1,-1,0.82,0.05,0.3309932190414244,0.676237461728182
36,0,21,5625.0,19.24,49,30625.0,37.7,-1,-1,-1,0.98,0.7,0.36797678529459443,0.7173653232333382
37,0,21,5625.0,19.24,61,33611.11,37.7,-1,-1,-1,0.83,0.36,0.4631105402768477,0.7590203402898344
38,0,21,5625.0,19.24,69,36736.11,37.7,-1,-1,-1,0.58,0.47,0.516629796003336,0.797619670239817
39,0,21,5625.0,19.24,69,40000.0,37.7,-1,-1,-1,0.69,0.28,0.516629796003336,0.8322150389441697
40,0,21,5625.0,19.24,9,5625.0,49.25,-1,-1,-1,0.48,0.02,-0.36797678529459443,0.03351543067578885
41,0,21,5625.0,19.24,9,6944.44,49.25,-1,-1,-1,0.95,0.81,-0.36797678529459443,0.11900332116664379
42,0,21,5625.0,19.24,9,8402.78,49.25,-1,-1,-1,0.35,0.46,-0.36797678529459443,0.1972754316642418
43,0,21,5625.0,19.24,13,10000.0,49.25,-1,-1,-1,0.71,0.28,-0.20827594242708247,0.261157877443462
44,0,21,5625.0,19.24,25,20069.44,49.25,-1,-1,-1,0.79,0.77,0.07572071393811834,0.5442891306634937
45,0,21,5625.0,19.24,37,22500.0,49.25,-1,-1,-1,0.91,0.98,0.2459824293330757,0.595332229834963
46,0,21,5625.0,19.24,37,25069.44,49.25,-1,-1,-1,0.84,0.0,0.2459824293330757,0.6389236074352932
47,0,21,5625.0,19.24,37,27777.78,49.25,-1,-1,-1,0.18,0.87,0.2459824293330757,0.6805777663979713
48,0,21,5625.0,19.24,45,30625.0,49.25,-1,-1,-1,0.09,0.77,0.3309932190414244,0.7232498502592137
49,0,21,5625.0,19.24,45,33611.11,49.25,-1,-1,-1,0.47,0.41,0.3309932190414244,0.7610246264444396
50,0,21,5625.0,19.24,49,36736.11,49.25,-1,-1,-1,0.05,0.48,0.36797678529459443,0.79859488214098
51,0,21,5625.0,19.24,57,40000.0,49.25,-1,-1,-1,0.61,0.14,0.43365556093857216,0.8359168883558776
52,0,21,5625.0,19.24,9,5625.0,62.33,-1,-1,-1,0.56,0.6,-0.36797678529459443,0.04180204204192901
53,0,21,5625.0,19.24,9,6944.44,62.33,-1,-1,-1,0.58,0.38,-0.36797678529459443,0.1258208308047077
54,0,21,5625.0,19.24,9,8402.78,62.33,-1,-1,-1,0.67,0.71,-0.36797678529459443,0.2029759387895243
55,0,21,5625.0,19.24,9,10000.0,62.33,-1,-1,-1,0.29,0.23,-0.36797678529459443,0.2742209834950768
56,0,21,5625.0,19.24,13,11736.11,62.33,-1,-1,-1,0.22,0.6,-0.20827594242708247,0.33272171647673227
57,0,21,5625.0,19.24,13,13611.11,62.33,-1,-1,-1,0.18,0.27,-0.20827594242708247,0.39321659307780216
