,Unnamed,NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,Diff_coeff_filtering,nd_LogRatio,nnd_LogRatio
0,0,21,17777.78,49.25,25,20069.44,49.25,0.84,-0.08,0.08,0.92,0.02867249838970487,-0.1743533871447778,-0.08080330518198746
1,0,25,20069.44,49.25,21,17777.78,49.25,1.19,0.08,0.08,0.92,0.02867249838970506,0.17435338714477774,0.08080330518198736
2,0,21,17777.78,49.25,37,22500.0,49.25,0.57,-0.24,0.23,0.77,0.12582681456911937,-0.5663954749208014,-0.15991927227649927
3,0,37,22500.0,49.25,21,17777.78,49.25,1.76,0.25,0.24,0.76,0.12582681456911943,0.5663954749208014,0.1599192722764992
4,0,21,17777.78,49.25,37,25069.44,49.25,0.57,-0.24,0.23,0.77,0.04974331478663436,-0.5663954749208014,-0.23726324022444492
5,0,37,25069.44,49.25,21,17777.78,49.25,1.76,0.25,0.24,0.76,0.04974331478663427,0.5663954749208014,0.237263240224445
6,0,21,17777.78,49.25,37,27777.78,49.25,0.57,-0.24,0.23,0.77,0.00843923568419797,-0.5663954749208014,-0.3127899779740872
7,0,37,27777.78,49.25,21,17777.78,49.25,1.76,0.25,0.24,0.76,0.008439235684198017,0.5663954749208014,0.31278997797408725
8,0,21,17777.78,49.25,45,30625.0,49.25,0.47,-0.33,0.31,0.69,0.009653351592052108,-0.7621400520468967,-0.3864820992296947
9,0,45,30625.0,49.25,21,17777.78,49.25,2.14,0.33,0.31,0.69,0.009653351592052108,0.7621400520468967,0.3864820992296947
10,0,21,17777.78,49.25,45,33611.11,49.25,0.47,-0.33,0.31,0.69,0.02646393023622696,-0.7621400520468967,-0.45834484619845717
11,0,45,33611.11,49.25,21,17777.78,49.25,2.14,0.33,0.31,0.69,0.026463930236227007,0.7621400520468967,0.4583448461984572
12,0,21,17777.78,49.25,49,36736.11,49.25,0.43,-0.37,0.35,0.65,0.03409022139186424,-0.8472978603872037,-0.5283992996117385
13,0,49,36736.11,49.25,21,17777.78,49.25,2.33,0.37,0.35,0.65,0.03409022139186424,0.8472978603872037,0.5283992996117385
14,0,21,17777.78,49.25,57,40000.0,49.25,0.37,-0.43,0.41,0.59,0.02511654983892644,-0.9985288301111273,-0.5966782700217063
15,0,57,40000.0,49.25,21,17777.78,49.25,2.71,0.43,0.41,0.59,0.02511654983892644,0.9985288301111273,0.5966782700217063
16,0,21,17777.78,49.25,25,22500.0,62.33,0.84,-0.08,0.08,0.92,0.17447672448206397,-0.1743533871447778,-0.23555467722551446
17,0,25,22500.0,62.33,21,17777.78,49.25,1.19,0.08,0.08,0.92,0.17447672448206397,0.17435338714477774,0.23555467722551438
18,0,21,17777.78,49.25,29,25069.44,62.33,0.72,-0.14,0.13,0.87,0.11760267131739563,-0.322773392263051,-0.3074620838035479
19,0,29,25069.44,62.33,21,17777.78,49.25,1.38,0.14,0.13,0.87,0.11760267131739571,0.322773392263051,0.30746208380354795
20,0,21,17777.78,49.25,37,27777.78,62.33,0.57,-0.24,0.23,0.77,0.048230640705727745,-0.5663954749208014,-0.37804512014524067
21,0,37,27777.78,62.33,21,17777.78,49.25,1.76,0.25,0.24,0.76,0.048230640705727655,0.5663954749208014,0.37804512014524055
22,0,21,17777.78,49.25,37,30625.0,62.33,0.57,-0.24,0.23,0.77,0.08218460537454772,-0.5663954749208014,-0.44723928280535
23,0,37,30625.0,62.33,21,17777.78,49.25,1.76,0.25,0.24,0.76,0.08218460537454772,0.5663954749208014,0.44723928280535
24,0,21,17777.78,49.25,37,33611.11,62.33,0.57,-0.24,0.23,0.77,0.10910776562144656,-0.5663954749208014,-0.5150060976067333
25,0,37,33611.11,62.33,21,17777.78,49.25,1.76,0.25,0.24,0.76,0.10910776562144656,0.5663954749208014,0.5150060976067333
26,0,21,17777.78,49.25,45,36736.11,62.33,0.47,-0.33,0.31,0.69,0.07533877039379663,-0.7621400520468967,-0.5813266448735398
27,0,45,36736.11,62.33,21,17777.78,49.25,2.14,0.33,0.31,0.69,0.07533877039379663,0.7621400520468967,0.5813266448735399
28,0,21,17777.78,49.25,45,40000.0,62.33,0.47,-0.33,0.31,0.69,0.09597367693851004,-0.7621400520468967,-0.6461974364646533
29,0,45,40000.0,62.33,21,17777.78,49.25,2.14,0.33,0.31,0.69,0.09597367693851004,0.7621400520468967,0.6461974364646533
30,0,21,17777.78,49.25,25,27777.78,76.95,0.84,-0.08,0.08,0.92,0.2465679117645437,-0.1743533871447778,-0.4462729761407972
31,0,25,27777.78,76.95,21,17777.78,49.25,1.19,0.08,0.08,0.92,0.2465679117645437,0.17435338714477774,0.4462729761407973
32,0,21,17777.78,49.25,29,30625.0,76.95,0.72,-0.14,0.13,0.87,0.19607170133397012,-0.322773392263051,-0.5110481749350959
33,0,29,30625.0,76.95,21,17777.78,49.25,1.38,0.14,0.13,0.87,0.19607170133397012,0.322773392263051,0.5110481749350959
34,0,21,17777.78,49.25,37,33611.11,76.95,0.57,-0.24,0.23,0.77,0.12882338093471696,-0.5663954749208014,-0.5747564972962631
35,0,37,33611.11,76.95,21,17777.78,49.25,1.76,0.25,0.24,0.76,0.12882338093471696,0.5663954749208014,0.5747564972962632
36,0,21,17777.78,49.25,37,36736.11,76.95,0.57,-0.24,0.23,0.77,0.14629916039054763,-0.5663954749208014,-0.6373482660222098
37,0,37,36736.11,76.95,21,17777.78,49.25,1.76,0.25,0.24,0.76,0.14629916039054763,0.5663954749208014,0.6373482660222098
38,0,21,17777.78,49.25,37,40000.0,76.95,0.57,-0.24,0.23,0.77,0.16092521395386938,-0.5663954749208014,-0.6987911389856769
39,0,37,40000.0,76.95,21,17777.78,49.25,1.76,0.25,0.24,0.76,0.16092521395386938,0.5663954749208014,0.6987911389856769
40,0,21,17777.78,49.25,13,17777.78,93.11,1.62,0.21,0.2,0.8,0.6546399925202827,0.4795730802618863,-0.26937609286340053
41,0,13,17777.78,93.11,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.6546399925202825,-0.4795730802618862,0.2693760928634006
42,0,21,17777.78,49.25,25,30625.0,93.11,0.84,-0.08,0.08,0.92,0.2658669395195938,-0.1743533871447778,-0.5771421346221924
43,0,25,30625.0,93.11,21,17777.78,49.25,1.19,0.08,0.08,0.92,0.2658669395195938,0.17435338714477774,0.5771421346221924
44,0,21,17777.78,49.25,28,33611.11,93.11,0.75,-0.12,0.11,0.89,0.23348131443335818,-0.2876820724517809,-0.6368951260293834
45,0,28,33611.11,93.11,21,17777.78,49.25,1.33,0.12,0.11,0.89,0.23348131443335818,0.28768207245178085,0.6368951260293835
46,0,21,17777.78,49.25,29,36736.11,93.11,0.72,-0.14,0.13,0.87,0.23089138264402378,-0.322773392263051,-0.6958247984686116
47,0,29,36736.11,93.11,21,17777.78,49.25,1.38,0.14,0.13,0.87,0.23089138264402378,0.322773392263051,0.6958247984686116
48,0,21,17777.78,49.25,37,40000.0,93.11,0.57,-0.24,0.23,0.77,0.1723096768284477,-0.5663954749208014,-0.7538770507784266
49,0,37,40000.0,93.11,21,17777.78,49.25,1.76,0.25,0.24,0.76,0.1723096768284477,0.5663954749208014,0.7538770507784266
50,0,21,17777.78,49.25,13,17777.78,110.8,1.62,0.21,0.2,0.8,0.5943292985998329,0.4795730802618863,-0.360352990071235
51,0,13,17777.78,110.8,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.5943292985998329,-0.4795730802618862,0.36035299007123495
52,0,21,17777.78,49.25,13,20069.44,110.8,1.62,0.21,0.2,0.8,0.5657410021645197,0.4795730802618863,-0.4173891218659564
53,0,13,20069.44,110.8,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.5657410021645196,-0.4795730802618862,0.41738912186595645
54,0,21,17777.78,49.25,25,36736.11,110.8,0.84,-0.08,0.08,0.92,0.281658241442108,-0.1743533871447778,-0.7561456683187513
55,0,25,36736.11,110.8,21,17777.78,49.25,1.19,0.08,0.08,0.92,0.281658241442108,0.17435338714477774,0.7561456683187514
56,0,21,17777.78,49.25,29,40000.0,110.8,0.72,-0.14,0.13,0.87,0.24497967441601906,-0.322773392263051,-0.8108909754801884
57,0,29,40000.0,110.8,21,17777.78,49.25,1.38,0.14,0.13,0.87,0.24497967441601906,0.322773392263051,0.8108909754801884
58,0,21,17777.78,49.25,9,17777.78,130.04,2.33,0.37,0.35,0.65,0.6661795420981665,0.8472978603872037,-0.4507243999967265
59,0,9,17777.78,130.04,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.6661795420981665,-0.8472978603872037,0.45072439999672637
60,0,21,17777.78,49.25,13,20069.44,130.04,1.62,0.21,0.2,0.8,0.5321634410354689,0.4795730802618863,-0.5029585451905815
61,0,13,20069.44,130.04,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.5321634410354689,-0.4795730802618862,0.5029585451905815
62,0,21,17777.78,49.25,13,22500.0,130.04,1.62,0.21,0.2,0.8,0.5156724314403234,0.4795730802618863,-0.5555302089555852
63,0,13,22500.0,130.04,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.5156724314403234,-0.4795730802618862,0.5555302089555852
64,0,21,17777.78,49.25,25,40000.0,130.04,0.84,-0.08,0.08,0.92,0.2883373941580048,-0.1743533871447778,-0.8694191997348617
65,0,25,40000.0,130.04,21,17777.78,49.25,1.19,0.08,0.08,0.92,0.2883373941580048,0.17435338714477774,0.8694191997348616
66,0,21,17777.78,49.25,9,17777.78,150.82,2.33,0.37,0.35,0.65,0.628065937682815,0.8472978603872037,-0.539947402522552
67,0,9,17777.78,150.82,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.628065937682815,-0.8472978603872037,0.539947402522552
68,0,21,17777.78,49.25,9,20069.44,150.82,2.33,0.37,0.35,0.65,0.6104894914255513,0.8472978603872037,-0.5878279053472775
69,0,9,20069.44,150.82,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.6104894914255513,-0.8472978603872037,0.5878279053472776
70,0,21,17777.78,49.25,9,22500.0,150.82,2.33,0.37,0.35,0.65,0.5944672755760868,0.8472978603872037,-0.6362237227583873
71,0,9,22500.0,150.82,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5944672755760868,-0.8472978603872037,0.6362237227583872
72,0,21,17777.78,49.25,13,25069.44,150.82,1.62,0.21,0.2,0.8,0.48433209948990347,0.4795730802618863,-0.6849594575029097
73,0,13,25069.44,150.82,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.48433209948990336,-0.4795730802618862,0.6849594575029098
74,0,21,17777.78,49.25,13,27777.78,150.82,1.62,0.21,0.2,0.8,0.4750207863518778,0.4795730802618863,-0.7338816313137111
75,0,13,27777.78,150.82,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.4750207863518778,-0.4795730802618862,0.733881631313711
76,0,21,17777.78,49.25,9,17777.78,173.13,2.33,0.37,0.35,0.65,0.5971933652630403,0.8472978603872037,-0.6276315119767499
77,0,9,17777.78,173.13,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5971933652630403,-0.8472978603872037,0.6276315119767498
78,0,21,17777.78,49.25,9,20069.44,173.13,2.33,0.37,0.35,0.65,0.583750204137318,0.8472978603872037,-0.6715794454825241
79,0,9,20069.44,173.13,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.583750204137318,-0.8472978603872037,0.6715794454825241
80,0,21,17777.78,49.25,9,22500.0,173.13,2.33,0.37,0.35,0.65,0.5712963727614562,0.8472978603872037,-0.716172493414117
81,0,9,22500.0,173.13,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5712963727614562,-0.8472978603872037,0.716172493414117
82,0,21,17777.78,49.25,9,25069.44,173.13,2.33,0.37,0.35,0.65,0.5597893042613296,0.8472978603872037,-0.761246641472149
83,0,9,25069.44,173.13,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5597893042613296,-0.8472978603872037,0.7612466414721492
84,0,21,17777.78,49.25,13,27777.78,173.13,1.62,0.21,0.2,0.8,0.4630545335872052,0.4795730802618863,-0.8066558027720947
85,0,13,27777.78,173.13,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.4630545335872052,-0.4795730802618862,0.8066558027720948
86,0,21,17777.78,49.25,13,30625.0,173.13,1.62,0.21,0.2,0.8,0.45650519453910504,0.4795730802618863,-0.8522695356625082
87,0,13,30625.0,173.13,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.45650519453910504,-0.4795730802618862,0.8522695356625082
88,0,21,17777.78,49.25,9,17777.78,196.98,2.33,0.37,0.35,0.65,0.571991431510449,0.8472978603872037,-0.7135748952206133
89,0,9,17777.78,196.98,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.571991431510449,-0.8472978603872037,0.7135748952206133
90,0,21,17777.78,49.25,9,20069.44,196.98,2.33,0.37,0.35,0.65,0.561577136921624,0.8472978603872037,-0.7539756424284172
91,0,9,20069.44,196.98,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.561577136921624,-0.8472978603872037,0.7539756424284173
92,0,21,17777.78,49.25,9,22500.0,196.98,2.33,0.37,0.35,0.65,0.5517858600551933,0.8472978603872037,-0.7951132140409276
93,0,9,22500.0,196.98,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.551785860055193,-0.8472978603872037,0.7951132140409277
94,0,21,17777.78,49.25,9,25069.44,196.98,2.33,0.37,0.35,0.65,0.5426091405540535,0.8472978603872037,-0.8368363491178229
95,0,9,25069.44,196.98,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5426091405540535,-0.8472978603872037,0.8368363491178228
96,0,21,17777.78,49.25,9,27777.78,196.98,2.33,0.37,0.35,0.65,0.5340279395901979,0.8472978603872037,-0.8790082693128797
97,0,9,27777.78,196.98,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5340279395901979,-0.8472978603872037,0.8790082693128796
98,0,21,17777.78,49.25,13,30625.0,196.98,1.62,0.21,0.2,0.8,0.44770931672212927,0.4795730802618863,-0.9215049650772872
99,0,13,30625.0,196.98,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.44770931672212927,-0.4795730802618862,0.9215049650772873
100,0,21,17777.78,49.25,13,33611.11,196.98,1.62,0.21,0.2,0.8,0.44286990027208134,0.4795730802618863,-0.9642157006842975
101,0,13,33611.11,196.98,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.44286990027208134,-0.4795730802618862,0.9642157006842974
102,0,21,17777.78,49.25,9,17777.78,222.38,2.33,0.37,0.35,0.65,0.5512080066575333,0.8472978603872037,-0.7976457414084667
103,0,9,17777.78,222.38,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5512080066575336,-0.8472978603872037,0.7976457414084664
104,0,21,17777.78,49.25,9,20069.44,222.38,2.33,0.37,0.35,0.65,0.5430302514473717,0.8472978603872037,-0.8348486407568503
105,0,9,20069.44,222.38,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5430302514473717,-0.8472978603872037,0.8348486407568503
106,0,21,17777.78,49.25,9,22500.0,222.38,2.33,0.37,0.35,0.65,0.5352402364636221,0.8472978603872037,-0.8728502004456217
107,0,9,22500.0,222.38,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5352402364636221,-0.8472978603872037,0.8728502004456217
108,0,21,17777.78,49.25,9,25069.44,222.38,2.33,0.37,0.35,0.65,0.5278462325492439,0.8472978603872037,-0.9115122915104685
109,0,9,25069.44,222.38,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5278462325492439,-0.8472978603872037,0.9115122915104685
110,0,21,17777.78,49.25,9,27777.78,222.38,2.33,0.37,0.35,0.65,0.5208477840477063,0.8472978603872037,-0.9507083686685761
111,0,9,27777.78,222.38,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5208477840477063,-0.8472978603872037,0.9507083686685761
112,0,21,17777.78,49.25,9,30625.0,222.38,2.33,0.37,0.35,0.65,0.5142380456057865,0.8472978603872037,-0.9903221684822137
