NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,,
21,"5,625",19.24,21,"5,625",19.24,1.00,0.00,0.00,1.00,,
21,"5,625",19.24,21,"6,944.44",19.24,1.00,0.00,0.00,1.00,,
21,"5,625",19.24,21,"8,402.78",19.24,1.00,0.00,0.00,1.00,,
21,"5,625",19.24,27,"10,000",19.24,0.78,-0.11,0.07,0.93,,
21,"5,625",19.24,37,"11,736.11",19.24,0.57,-0.25,0.16,0.84,,
21,"5,625",19.24,37,"13,611.11",19.24,0.57,-0.25,0.16,0.84,,
21,"5,625",19.24,45,"15,625",19.24,0.47,-0.33,0.21,0.79,,
21,"5,625",19.24,48,"17,777.78",19.24,0.44,-0.36,0.23,0.77,,
21,"5,625",19.24,61,"20,069.44",19.24,0.34,-0.46,0.30,0.70,,
21,"5,625",19.24,69,"22,500",19.24,0.30,-0.52,0.33,0.67,,
21,"5,625",19.24,69,"25,069.44",19.24,0.30,-0.52,0.33,0.67,,
21,"5,625",19.24,69,"27,777.78",19.24,0.30,-0.52,0.33,0.67,,
21,"5,625",19.24,89,"30,625",19.24,0.24,-0.63,0.40,0.60,,
21,"5,625",19.24,97,"33,611.11",19.24,0.22,-0.66,0.42,0.58,,
21,"5,625",19.24,101,"36,736.11",19.24,0.21,-0.68,0.43,0.57,,
21,"5,625",19.24,112,"40,000",19.24,0.19,-0.73,0.46,0.54,,
21,"6,944.44",19.24,21,"5,625",19.24,1.00,0.00,0.00,1.00,,
21,"6,944.44",19.24,21,"6,944.44",19.24,1.00,0.00,0.00,1.00,,
21,"6,944.44",19.24,21,"8,402.78",19.24,1.00,0.00,0.00,1.00,,
21,"6,944.44",19.24,27,"10,000",19.24,0.78,-0.11,0.07,0.93,,
21,"6,944.44",19.24,37,"11,736.11",19.24,0.57,-0.25,0.16,0.84,,
21,"6,944.44",19.24,37,"13,611.11",19.24,0.57,-0.25,0.16,0.84,,
21,"6,944.44",19.24,45,"15,625",19.24,0.47,-0.33,0.21,0.79,,
21,"6,944.44",19.24,48,"17,777.78",19.24,0.44,-0.36,0.23,0.77,,
21,"6,944.44",19.24,61,"20,069.44",19.24,0.34,-0.46,0.30,0.70,,
21,"6,944.44",19.24,69,"22,500",19.24,0.30,-0.52,0.33,0.67,,
21,"6,944.44",19.24,69,"25,069.44",19.24,0.30,-0.52,0.33,0.67,,
21,"6,944.44",19.24,69,"27,777.78",19.24,0.30,-0.52,0.33,0.67,,
21,"6,944.44",19.24,89,"30,625",19.24,0.24,-0.63,0.40,0.60,,
21,"6,944.44",19.24,97,"33,611.11",19.24,0.22,-0.66,0.42,0.58,,
21,"6,944.44",19.24,101,"36,736.11",19.24,0.21,-0.68,0.43,0.57,,
21,"6,944.44",19.24,112,"40,000",19.24,0.19,-0.73,0.46,0.54,,
21,"8,402.78",19.24,21,"5,625",19.24,1.00,0.00,0.00,1.00,,
21,"8,402.78",19.24,21,"6,944.44",19.24,1.00,0.00,0.00,1.00,,
21,"8,402.78",19.24,21,"8,402.78",19.24,1.00,0.00,0.00,1.00,,
21,"8,402.78",19.24,27,"10,000",19.24,0.78,-0.11,0.07,0.93,,
21,"8,402.78",19.24,37,"11,736.11",19.24,0.57,-0.25,0.16,0.84,,
21,"8,402.78",19.24,37,"13,611.11",19.24,0.57,-0.25,0.16,0.84,,
21,"8,402.78",19.24,45,"15,625",19.24,0.47,-0.33,0.21,0.79,,
21,"8,402.78",19.24,48,"17,777.78",19.24,0.44,-0.36,0.23,0.77,,
21,"8,402.78",19.24,61,"20,069.44",19.24,0.34,-0.46,0.30,0.70,,
21,"8,402.78",19.24,69,"22,500",19.24,0.30,-0.52,0.33,0.67,,
21,"8,402.78",19.24,69,"25,069.44",19.24,0.30,-0.52,0.33,0.67,,
21,"8,402.78",19.24,69,"27,777.78",19.24,0.30,-0.52,0.33,0.67,,
21,"8,402.78",19.24,89,"30,625",19.24,0.24,-0.63,0.40,0.60,,
21,"8,402.78",19.24,97,"33,611.11",19.24,0.22,-0.66,0.42,0.58,,
21,"8,402.78",19.24,101,"36,736.11",19.24,0.21,-0.68,0.43,0.57,,
21,"8,402.78",19.24,112,"40,000",19.24,0.19,-0.73,0.46,0.54,,
27,"10,000",19.24,21,"5,625",19.24,1.29,0.11,0.07,0.93,,
27,"10,000",19.24,21,"6,944.44",19.24,1.29,0.11,0.07,0.93,,
27,"10,000",19.24,21,"8,402.78",19.24,1.29,0.11,0.07,0.93,,
27,"10,000",19.24,27,"10,000",19.24,1.00,0.00,0.00,1.00,,
27,"10,000",19.24,37,"11,736.11",19.24,0.73,-0.14,0.09,0.91,,
27,"10,000",19.24,37,"13,611.11",19.24,0.73,-0.14,0.09,0.91,,
27,"10,000",19.24,45,"15,625",19.24,0.60,-0.22,0.14,0.86,,
27,"10,000",19.24,48,"17,777.78",19.24,0.56,-0.25,0.16,0.84,,
27,"10,000",19.24,61,"20,069.44",19.24,0.44,-0.35,0.23,0.77,,
27,"10,000",19.24,69,"22,500",19.24,0.39,-0.41,0.26,0.74,,
27,"10,000",19.24,69,"25,069.44",19.24,0.39,-0.41,0.26,0.74,,
27,"10,000",19.24,69,"27,777.78",19.24,0.39,-0.41,0.26,0.74,,
27,"10,000",19.24,89,"30,625",19.24,0.30,-0.52,0.33,0.67,,
27,"10,000",19.24,97,"33,611.11",19.24,0.28,-0.56,0.35,0.65,,
27,"10,000",19.24,101,"36,736.11",19.24,0.27,-0.57,0.37,0.63,,
27,"10,000",19.24,112,"40,000",19.24,0.24,-0.62,0.39,0.61,,
37,"11,736.11",19.24,21,"5,625",19.24,1.76,0.25,0.16,0.84,,
37,"11,736.11",19.24,21,"6,944.44",19.24,1.76,0.25,0.16,0.84,,
37,"11,736.11",19.24,21,"8,402.78",19.24,1.76,0.25,0.16,0.84,,
37,"11,736.11",19.24,27,"10,000",19.24,1.37,0.14,0.09,0.91,,
37,"11,736.11",19.24,37,"11,736.11",19.24,1.00,0.00,0.00,1.00,,
37,"11,736.11",19.24,37,"13,611.11",19.24,1.00,0.00,0.00,1.00,,
37,"11,736.11",19.24,45,"15,625",19.24,0.82,-0.09,0.05,0.95,,
37,"11,736.11",19.24,48,"17,777.78",19.24,0.77,-0.11,0.07,0.93,,
37,"11,736.11",19.24,61,"20,069.44",19.24,0.61,-0.22,0.14,0.86,,
37,"11,736.11",19.24,69,"22,500",19.24,0.54,-0.27,0.17,0.83,,
37,"11,736.11",19.24,69,"25,069.44",19.24,0.54,-0.27,0.17,0.83,,
37,"11,736.11",19.24,69,"27,777.78",19.24,0.54,-0.27,0.17,0.83,,
37,"11,736.11",19.24,89,"30,625",19.24,0.42,-0.38,0.24,0.76,,
37,"11,736.11",19.24,97,"33,611.11",19.24,0.38,-0.42,0.27,0.73,,
37,"11,736.11",19.24,101,"36,736.11",19.24,0.37,-0.44,0.28,0.72,,
37,"11,736.11",19.24,112,"40,000",19.24,0.33,-0.48,0.31,0.69,,
37,"13,611.11",19.24,21,"5,625",19.24,1.76,0.25,0.16,0.84,,
37,"13,611.11",19.24,21,"6,944.44",19.24,1.76,0.25,0.16,0.84,,
37,"13,611.11",19.24,21,"8,402.78",19.24,1.76,0.25,0.16,0.84,,
37,"13,611.11",19.24,27,"10,000",19.24,1.37,0.14,0.09,0.91,,
37,"13,611.11",19.24,37,"11,736.11",19.24,1.00,0.00,0.00,1.00,,
37,"13,611.11",19.24,37,"13,611.11",19.24,1.00,0.00,0.00,1.00,,
37,"13,611.11",19.24,45,"15,625",19.24,0.82,-0.09,0.05,0.95,,
37,"13,611.11",19.24,48,"17,777.78",19.24,0.77,-0.11,0.07,0.93,,
37,"13,611.11",19.24,61,"20,069.44",19.24,0.61,-0.22,0.14,0.86,,
37,"13,611.11",19.24,69,"22,500",19.24,0.54,-0.27,0.17,0.83,,
37,"13,611.11",19.24,69,"25,069.44",19.24,0.54,-0.27,0.17,0.83,,
37,"13,611.11",19.24,69,"27,777.78",19.24,0.54,-0.27,0.17,0.83,,
37,"13,611.11",19.24,89,"30,625",19.24,0.42,-0.38,0.24,0.76,,
37,"13,611.11",19.24,97,"33,611.11",19.24,0.38,-0.42,0.27,0.73,,
37,"13,611.11",19.24,101,"36,736.11",19.24,0.37,-0.44,0.28,0.72,,
37,"13,611.11",19.24,112,"40,000",19.24,0.33,-0.48,0.31,0.69,,
45,"15,625",19.24,21,"5,625",19.24,2.14,0.33,0.21,0.79,,
