,NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,Unnamed: 10,Unnamed: 11,Diff_coeff_filtering
0,21,5625.0,19.24,21,5625.0,19.24,1.0,0.0,0.0,1.0,,,-1.0
1,21,5625.0,19.24,21,6944.44,19.24,1.0,0.0,0.0,1.0,,,-1.0
2,21,5625.0,19.24,21,8402.78,19.24,1.0,0.0,0.0,1.0,,,-1.0
3,21,5625.0,19.24,27,10000.0,19.24,0.78,-0.11,0.07,0.93,,,30.72358966610983
4,21,5625.0,19.24,37,11736.11,19.24,0.57,-0.25,0.17,0.83,,,20.8365419580564
5,21,5625.0,19.24,37,13611.11,19.24,0.57,-0.25,0.17,0.83,,,24.524379641622293
6,21,5625.0,19.24,45,15625.0,19.24,0.47,-0.33,0.23,0.77,,,21.510980444265925
7,21,5625.0,19.24,48,17777.78,19.24,0.44,-0.36,0.25,0.75,,,22.290195846903963
8,21,5625.0,19.24,61,20069.44,19.24,0.34,-0.46,0.32,0.68,,,18.96976879188335
9,21,5625.0,19.24,69,22500.0,19.24,0.3,-0.52,0.35,0.65,,,18.439602399676644
10,21,5625.0,19.24,69,25069.44,19.24,0.3,-0.52,0.35,0.65,,,20.121586503192702
11,21,5625.0,19.24,69,27777.78,19.24,0.3,-0.52,0.35,0.65,,,21.542123430932634
12,21,5625.0,19.24,89,30625.0,19.24,0.24,-0.63,0.43,0.57,,,18.597796238439813
13,21,5625.0,19.24,97,33611.11,19.24,0.22,-0.66,0.45,0.55,,,18.49621724753501
14,21,5625.0,19.24,101,36736.11,19.24,0.21,-0.68,0.47,0.53,,,19.006872804016933
15,21,5625.0,19.24,112,40000.0,19.24,0.19,-0.73,0.5,0.5,,,18.56675107117152
16,21,6944.44,19.24,21,5625.0,19.24,1.0,0.0,0.0,1.0,,,-1.0
17,21,6944.44,19.24,21,6944.44,19.24,1.0,0.0,0.0,1.0,,,-1.0
18,21,6944.44,19.24,21,8402.78,19.24,1.0,0.0,0.0,1.0,,,-1.0
19,21,6944.44,19.24,27,10000.0,19.24,0.78,-0.11,0.07,0.93,,,23.124301009921624
20,21,6944.44,19.24,37,11736.11,19.24,0.57,-0.25,0.17,0.83,,,12.837471578988673
21,21,6944.44,19.24,37,13611.11,19.24,0.57,-0.25,0.17,0.83,,,18.880221778927083
22,21,6944.44,19.24,45,15625.0,19.24,0.47,-0.33,0.23,0.77,,,16.298796596785706
23,21,6944.44,19.24,48,17777.78,19.24,0.44,-0.36,0.25,0.75,,,17.872710656362162
24,21,6944.44,19.24,61,20069.44,19.24,0.34,-0.46,0.32,0.68,,,14.65706360235428
25,21,6944.44,19.24,69,22500.0,19.24,0.3,-0.52,0.35,0.65,,,14.480448285418289
26,21,6944.44,19.24,69,25069.44,19.24,0.3,-0.52,0.35,0.65,,,16.637727349025663
27,21,6944.44,19.24,69,27777.78,19.24,0.3,-0.52,0.35,0.65,,,18.43961430131324
28,21,6944.44,19.24,89,30625.0,19.24,0.24,-0.63,0.43,0.57,,,15.448851032214494
29,21,6944.44,19.24,97,33611.11,19.24,0.22,-0.66,0.45,0.55,,,15.520539888060645
30,21,6944.44,19.24,101,36736.11,19.24,0.21,-0.68,0.47,0.53,,,16.221687683564863
31,21,6944.44,19.24,112,40000.0,19.24,0.19,-0.73,0.5,0.5,,,15.884129034947268
32,21,8402.78,19.24,21,5625.0,19.24,1.0,0.0,0.0,1.0,,,-1.0
33,21,8402.78,19.24,21,6944.44,19.24,1.0,0.0,0.0,1.0,,,-1.0
34,21,8402.78,19.24,21,8402.78,19.24,1.0,0.0,0.0,1.0,,,-1.0
35,21,8402.78,19.24,27,10000.0,19.24,0.78,-0.11,0.07,0.93,,,4.925884307148649
36,21,8402.78,19.24,37,11736.11,19.24,0.57,-0.25,0.17,0.83,,,0.3578280103623196
37,21,8402.78,19.24,37,13611.11,19.24,0.57,-0.25,0.17,0.83,,,10.62374421307501
38,21,8402.78,19.24,45,15625.0,19.24,0.47,-0.33,0.23,0.77,,,9.406365859904225
39,21,8402.78,19.24,48,17777.78,19.24,0.44,-0.36,0.25,0.75,,,12.273275161337317
